"Notes"	"County"	"County Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Autauga County, AL"	"01001"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Barbour County, AL"	"01005"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Bibb County, AL"	"01007"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Bullock County, AL"	"01011"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Butler County, AL"	"01013"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Chambers County, AL"	"01017"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Cherokee County, AL"	"01019"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Chilton County, AL"	"01021"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Choctaw County, AL"	"01023"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Clarke County, AL"	"01025"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Clay County, AL"	"01027"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable
	"Cleburne County, AL"	"01029"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-2"	Suppressed	Not Applicable	Not Applicable
