"Notes"	"County"	"County Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	17	1105	1538.5 (Unreliable)
	"Autauga County, AL"	"01001"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	13	5795	224.3 (Unreliable)
	"Autauga County, AL"	"01001"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	31	9698	319.7
	"Autauga County, AL"	"01001"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	44	10564	416.5
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	44	2363	1862.0
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	12	13965	85.9 (Unreliable)
	"Baldwin County, AL"	"01003"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	20	12314	162.4
	"Baldwin County, AL"	"01003"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	70	19742	354.6
	"Baldwin County, AL"	"01003"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	74	18855	392.5
	"Barbour County, AL"	"01005"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	17	1582	1074.6 (Unreliable)
	"Barbour County, AL"	"01005"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	19	11475	165.6 (Unreliable)
	"Barbour County, AL"	"01005"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	48	21918	219.0
	"Barbour County, AL"	"01005"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	49	18591	263.6
	"Bibb County, AL"	"01007"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	18	11649	154.5 (Unreliable)
	"Bibb County, AL"	"01007"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	22	8801	250.0
	"Bullock County, AL"	"01011"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	14	994	1408.5 (Unreliable)
	"Bullock County, AL"	"01011"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	10	5347	187.0 (Unreliable)
	"Bullock County, AL"	"01011"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	11	5666	194.1 (Unreliable)
	"Bullock County, AL"	"01011"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	27	11116	242.9
	"Bullock County, AL"	"01011"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	38	9979	380.8
	"Butler County, AL"	"01013"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	18	1284	1401.9 (Unreliable)
	"Butler County, AL"	"01013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	23	5315	432.7
	"Butler County, AL"	"01013"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	42	8395	500.3
	"Butler County, AL"	"01013"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	57	7885	722.9
	"Calhoun County, AL"	"01015"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	47	3106	1513.2
	"Calhoun County, AL"	"01015"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	18	19622	91.7 (Unreliable)
	"Calhoun County, AL"	"01015"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	35	19407	180.3
	"Calhoun County, AL"	"01015"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	80	25397	315.0
	"Calhoun County, AL"	"01015"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	132	23518	561.3
	"Chambers County, AL"	"01017"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	19	1614	1177.2 (Unreliable)
	"Chambers County, AL"	"01017"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	13	9524	136.5 (Unreliable)
	"Chambers County, AL"	"01017"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	20	8201	243.9
	"Chambers County, AL"	"01017"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	41	13886	295.3
	"Chambers County, AL"	"01017"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	70	15162	461.7
	"Chilton County, AL"	"01021"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	11	595	1848.7 (Unreliable)
	"Chilton County, AL"	"01021"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	19	4741	400.8 (Unreliable)
	"Chilton County, AL"	"01021"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	17	4304	395.0 (Unreliable)
	"Choctaw County, AL"	"01023"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	11	3512	313.2 (Unreliable)
	"Choctaw County, AL"	"01023"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	22	5551	396.3
	"Choctaw County, AL"	"01023"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	44	6222	707.2
	"Clarke County, AL"	"01025"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	20	1464	1366.1
	"Clarke County, AL"	"01025"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	27	6546	412.5
	"Clarke County, AL"	"01025"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	36	10905	330.1
	"Clarke County, AL"	"01025"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	55	12216	450.2
	"Clay County, AL"	"01027"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	17	2430	699.6 (Unreliable)
	"Coffee County, AL"	"01031"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	13	1206	1077.9 (Unreliable)
	"Coffee County, AL"	"01031"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	17	9622	176.7 (Unreliable)
	"Coffee County, AL"	"01031"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	49	10223	479.3
	"Colbert County, AL"	"01033"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	20	1040	1923.1
	"Colbert County, AL"	"01033"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	11	5294	207.8 (Unreliable)
	"Colbert County, AL"	"01033"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	28	8696	322.0
	"Colbert County, AL"	"01033"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	42	9449	444.5
	"Conecuh County, AL"	"01035"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	11	833	1320.5 (Unreliable)
	"Conecuh County, AL"	"01035"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	25	5207	480.1
	"Conecuh County, AL"	"01035"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	42	5573	753.6
	"Coosa County, AL"	"01037"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-2"	10	332	3012.0 (Unreliable)
